,keys
0,id
1,type
2,naam
3,locatie
4,provincie
5,gemeente
6,deelgemeente
7,nummers
8,stijl
9,typologie
10,context
11,materiaal
12,plantensoort
13,datering
14,gga_motivatie
15,personen
16,gebeurtenissen
17,themas
18,geldig vanaf
19,geldig tot
20,geldigheid opmerkingen
21,besluiten
22,dataverantwoordelijke
23,toelatingsplichtige handelingen
