,keys
0,id
1,naam
2,locatie
3,provincie
4,gemeente
5,deelgemeente
6,is_vastgesteld
7,is_beschermd
8,omvang
9,erfgoedwaarde
10,bewaringstoestand
11,stijl
12,typologie
13,context
14,materiaal
15,plantensoort
16,datering
17,personen
18,gebeurtenissen
19,themas
20,disciplines
21,dataverantwoordelijke
