id,naam,locatie,provincie,gemeente,deelgemeente,is_vastgesteld,is_beschermd,omvang,erfgoedwaarde,bewaringstoestand,stijl,typologie,context,materiaal,plantensoort,datering,personen,gebeurtenissen,themas,disciplines,dataverantwoordelijke,stamomtrek
302928,Bomengroep van oosterse platanen,Groenendaal (Bilzen),Limburg,Bilzen,Waltwilder,True,False,Element,aanwezig,bewaard,,"boomweiden, opgaande bomen",kasteeldomeinen,,Platanus orientalis,,,"Inventarisatie Munsterbos, kasteeldomeinen van Groenendaal en Zangerhei ",Houtige beplantingen met erfgoedwaarde,Landschappelijk,Agentschap Onroerend Erfgoed,
302959,Dubbele dreef met opgaande eiken,Kruishoutem (Kruisem),Oost-Vlaanderen,Kruisem,Kruishoutem,True,True,Element,aanwezig,bewaard,,"dreven, opgaande bomen",kasteeldomeinen,,Quercus robur,,,Ad hoc-inventarisatie landschappelijk erfgoed 2016,Houtige beplantingen met erfgoedwaarde,Landschappelijk,Agentschap Onroerend Erfgoed,
302972,Populierendreef met opgaande bomen,Kruishoutem (Kruisem),Oost-Vlaanderen,Kruisem,Kruishoutem,True,True,Element,aanwezig,bewaard,,"dreven, opgaande bomen",kasteeldomeinen,,Populus canescens (x),,,Ad hoc-inventarisatie landschappelijk erfgoed 2016,Houtige beplantingen met erfgoedwaarde,Landschappelijk,Agentschap Onroerend Erfgoed,
303020,Beukenprieel in pastorietuin,Oombergenstraat 37 (Zottegem),Oost-Vlaanderen,Zottegem,Oombergen,False,True,Element,aanwezig,bewaard,,priëlen,pastorietuinen,,Fagus sylvatica,,,Ad hoc-inventarisatie landschappelijk erfgoed 2016,Houtige beplantingen met erfgoedwaarde,Landschappelijk,Agentschap Onroerend Erfgoed,
303041,Afsluitingshaag van linde in Appelkot,Terspelt (Merchtem),Vlaams-Brabant,Merchtem,Merchtem,False,False,Element,aanwezig,bewaard,,"afsluitingshagen, gekandelaarde bomen",parken,,Tilia europaea (x),,,Ad hoc-inventarisatie landschappelijk erfgoed 2017,Houtige beplantingen met erfgoedwaarde,Landschappelijk,Agentschap Onroerend Erfgoed,
303048,Californische torreya in het park van Ast,Aststraat 247 (Tienen),Vlaams-Brabant,Tienen,Goetsenhoven,False,True,Element,aanwezig,bewaard,,"individuele bomen, opgaande bomen",parken,,Torreya californica,,,Project beschermingsdatabank 2013-2016,Houtige beplantingen met erfgoedwaarde,Landschappelijk,Agentschap Onroerend Erfgoed,
303056,Twee abelen bij Onze-Lieve-Vrouwekapel,Gorsem-Dorp (Sint-Truiden),Limburg,Sint-Truiden,Gorsem,False,False,Element,aanwezig,bewaard,,"geschoren hagen, kapelbomen, opgaande bomen",,,"Populus, Taxus",,,Ad hoc-inventarisatie landschappelijk erfgoed 2016,Houtige beplantingen met erfgoedwaarde,Landschappelijk,Agentschap Onroerend Erfgoed,
303057,Solitaire opgaande zomereik,Gorsem-Dorp (Sint-Truiden),Limburg,Sint-Truiden,Gorsem,False,False,Element,aanwezig,bewaard,,opgaande bomen,"perceelsgrenzen, weilanden",,Quercus robur,,,Ad hoc-inventarisatie landschappelijk erfgoed 2016,Houtige beplantingen met erfgoedwaarde,Landschappelijk,Agentschap Onroerend Erfgoed,
303061,Taxus bij de ruïne van de Sint-Janskerk,Sint-Jansveld (Diest),Vlaams-Brabant,Diest,Diest,False,True,Element,aanwezig,bewaard,,op (enen) stam gezette struiken,kerkhoven,,Taxus baccata,,,Inventarisatie houtige beplantingen 2005-2013,Houtige beplantingen met erfgoedwaarde,Landschappelijk,Agentschap Onroerend Erfgoed,
303065,Opgaande eikendreef bij Kasteel van Laarne,Kasteeldreef (Laarne),Oost-Vlaanderen,Laarne,Laarne,False,True,Element,aanwezig,bewaard,,"dreven, kasseiwegen, opgaande bomen",kasteeldomeinen,,Quercus robur,,,Ad hoc-inventarisatie landschappelijk erfgoed 2016,Houtige beplantingen met erfgoedwaarde,Landschappelijk,Agentschap Onroerend Erfgoed,
